作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
荒野的寿飞行队,kouya_no_kotobuki_hikoutai_tv_2019,2019 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,空战、枪炮与坠机，受伤和死亡危险，政治强迫与宣传，反复饮酒，异性调情、求婚及失败婚姻笑料,有精确条目,2018,0.020525657071339173
莉可丽丝：友谊是时间的窃贼,lycoris_recoil_friends_are_thieves_of_time_web_2025,2025 WEB,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,轻度枪械与秘密组织设定、幽灵恶作剧、留宿与换制服桥段。,有精确条目,2025,0.057626287395782246
Fate/kaleid liner 魔法少女☆伊莉雅 2wei Herz!,fate_kaleid_liner_prisma_illya_2wei_herz_tv_2015,2015 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,未成年角色之间围绕亲吻／唾液补给的台词与尴尬玩笑、角色犹豫的补给台词、男性恋爱药剂、魔法战斗与生命危险,有精确条目,2037,0.09819480261852807
牵牛花与加濑同学。,asagao_to_kase_san_ova_2018,2018 剧场 OVA,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,访谈／评论、可见宣传,无,初次交往中的不安、嫉妒与沟通困难，毕业／升学带来的未来压力。,有精确条目,2055,0.1853222718570517
糖果男孩,candy_boy_side_story_for_archive_web_2007,2007 WEB,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,亲生双胞胎姐妹之间的恋爱方向；日语字幕为低可靠度自动转写，未作视听复核。,有精确条目,2060,0.18002081165452655
Fate/kaleid liner 魔法少女☆伊莉雅 2wei!,fate_kaleid_liner_prisma_illya_2wei_tv_2014,2014 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,未成年角色性化喜剧、补给魔力时的亲吻与身体边界问题、义兄恋爱笑点、魔法战斗与生命危险,有精确条目,2063,0.09941990182954039
代号17,figure_17_tv_2001,2001 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,儿童死亡与长期哀伤、怪物暴力和身体恐怖、儿童陷入战斗、人工生命体死亡与被迫分离、复制／操纵／消除记忆、姐妹身份与恋爱方向叠加、强烈依赖及分离焦虑、丧亲。,有精确条目,2094,0.0672782874617737
剧场版 BanG Dream! Poppin'Dream！,bang_dream_poppin_dream_movie_2022,2022 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,承接 TV 第三季、海外旅行、舞台压力、临场受伤与完整剧透,有精确条目,2103,0.05832147937411095
结城友奈是勇者 -鹫尾须美之章- 第2章 魂,yuuki_yuuna_washio_sumi_ch2_movie_2017,2017 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,未成年少女战斗、受伤、角色死亡、同伴哀伤与未完成约定。,有精确条目,2104,0.09078163336838416
mono女孩,mono_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,网络恶评与传言扩散、危险驾驶及下坡滑板、暴食与肠胃不适笑料、幽灵及伪纪录恐怖、短暂绝望时的随口轻生表达、动物遇险。,有精确条目,2110,0.05045476304451891
向山进发,yama_no_susume_tv_2013,2013 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,童年坠落骨折与恐高、初学登山风险、坏鞋下山。,有精确条目,2112,0.10874755806381593
黑街二人组,noir_tv_2001,2001 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,暗杀、枪击、刺伤与死亡，犯罪组织和政治暴力，儿童杀手训练、失忆与身份操纵，邪教式控制与强迫仪式，家人被杀与复仇，要求对方杀死自己，强迫性的“死亡之吻”威胁和身体控制，火灾、溺水及心理崩溃。,有精确条目,2171,0.10193452380952381
结城友奈是勇者,yuuki_yuuna_wa_yuusha_de_aru_tv_2014,2014 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,制度对未成年人的欺瞒与利用、儿童战斗和重度奇幻暴力、身体献祭及感觉／运动功能丧失、失忆与身份操纵、自毁式牺牲和长期昏迷、自杀念头与毁灭世界的行动、末世威胁、内疚与情绪崩溃。,有精确条目,2172,0.10342828151047329
爱杀宝贝,kill_me_baby_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,频繁喜剧化击打、关节技、刀枪与暗杀笑话；意外身体接触；公共浴室与身体笑点；情人节恋爱惯例及误认,有精确条目,2182,0.04344033496161898
珈百璃的堕落,gabriel_dropout_tv_2017,2017 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,女性间性化骚扰、索取内衣与窥视／拍摄企图，换衣／内衣／胸臀笑料，未经同意入室、捆绑和打闹，流浪犬可能被处置，毁灭世界威胁作喜剧。,有精确条目,2185,0.10404951503943843
SSSS.古立特,ssss_gridman_tv_2018,2018 TV,重要副线,重要副线,明显但未确认,否,否,是,否,所核未见,所核未见,—,—,并行,怪兽暴力与城市破坏、死亡被抹除和记忆改写、刺伤及流血、失忆与身份置换、创造者对他人情感的预设、操纵与孤立、梦境诱导、自我否定及要求他人杀死自己。,有精确条目,2188,0.0022111894530435147
樱Trick,sakura_trick_tv_2014,2014 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,无,未成年角色的性化呈现、突然发起的接吻与喜剧化边界越过、嫉妒和排他、亲戚间恋爱方向、家族安排婚约、未经邀请的身体触碰、泳池与身体笑料。,有精确条目,2201,0.18042160962703763
Re: 甜心战士,re_cutie_honey_ova_2004,2004 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,未知,成人向性化台词语境、暴力、强制同化；未作逐镜视觉判断,有精确条目,2214,0.07368421052631578
我家也有外星人,niea_7_tv_2000,2000 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,贫困与食物不安全、居住和劳动不对等、异族／阶层歧视用语、族裔 caricature、性骚扰笑料、丧亲与家园可能消失。,有精确条目,2220,0.04343329886246122
影宅 第二季,shadows_house_2nd_season_tv_2022,2022 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,主从等级、洗脑与人格剥夺、强制融合、共同跳楼与处分威胁、馆邸监视、单向恋爱与权力不平等,有精确条目,2232,0.041592394533571005
玛利亚狂热 ALIVE,maria_holic_alive_tv_2011,2011 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本,故事／角色页,未知,女同性欲望、鼻血与身体凝视被反复用于喜剧；女学生身体、气味与梦境场景被性化；鞠也和茉莉花的捉弄与辛辣言辞；梦境和夸张想象不能单独当作现实交往证据。,有精确条目,2235,0.07647938474684897
放学后海堤日记,houkago_teibou_nisshi_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,捕捉、宰杀、处理和食用鱼类及海洋生物，活饵与昆虫，利用主人公恐惧促成入部，成人教师饮酒后向学生说结婚与亲吻笑话并遭拒绝，泳装与身体笑料，水上安全风险。,有精确条目,2278,0.07047738693467337
黄金拼图 Pretty Days,kin_iro_mosaic_pretty_days_movie_2016,2016 剧场 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,文化祭压力、争宠和暧昧配对笑料、跨文化误解、校园身体话题。,有精确条目,2293,0.11807498601007274
漫画女孩,comic_girls_tv_2018,2018 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,未成年人物的身体／内衣／泳装／沐浴与胸部笑料、剧中 TL 与成人性内容讨论、尾随和惊吓式边界侵犯、成人醉酒、体重与节食笑料、强烈自我否定和退稿压力、恐怖与血迹意象,有精确条目,2301,0.11549266465508272
BanG Dream! 少女乐团派对！5周年纪念动画 -CiRCLE THANKS PARTY!-,bang_dream_circle_thanks_party_2022,2022 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,群像切换频繁、场地受天气损坏后的紧急修复与演出压力。,有精确条目,2312,0.06439674315321983
顶点!!!!!!!!!!!!!!!,teppen_tv_2022,2022 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,暗杀误会、伪造自杀与诅咒故事、跟踪与偷窥误会、喜剧性暴力和武器、VR 战斗、身体与胸部笑料、泳装／洗浴节目笑话、诈骗和网络攻击。,有精确条目,2324,0.05515587529976019
魔法少女奈叶 Reflection,mahou_shoujo_lyrical_nanoha_reflection_movie_2017,2017 剧场动画,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,星球毁灭、父亲患病、姐妹冲突、控制与复仇、儿童魔法战斗、悬念式结局,有精确条目,2326,0.09155937052932761
魔法少女小圆 新作概念视频,mahou_shoujo_madoka_magica_concept_movie_2015,2015 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,未知,碎片化概念叙事、抽象神性意象、魔法少女战斗与不安氛围；未作本地画面复核。,有精确条目,2366,0.04836272040302267
侦探歌剧 少女福尔摩斯,tantei_opera_milky_holmes_tv_2010,2010 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,饥饿与居住惩罚、频繁打闹和险境、非自愿拥抱／脱衣／胸部触碰、男性性骚扰与暴露、未成年外观角色的身体笑料、安排婚姻和局部男女恋爱。,有精确条目,2382,0.05602623667668762
强袭魔女,strike_witches_tv_2008,2008 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,战争与空战、青少年参战、负伤与死亡回忆、频繁裸体及内衣式服装取景、胸部与身体凝视笑料、带侵入性的身体接触、偷窥和浴室服务性场面。,有精确条目,2389,0.09622886866059818
结城友奈是勇者 -鹫尾须美之章- 第1章 朋友,yuuki_yuuna_washio_sumi_ch1_movie_2017,2017 剧场动画,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,小学六年级少女承担战斗职责、受伤与组织压力；含未成年角色的温泉和身体发育玩笑。,有精确条目,2392,0.09784031413612565
读或死 TV,rod_read_or_die_tv_2003,2003 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,企划、范围内版本,出版渠道、可见宣传,未知,超能力战斗、枪击、爆炸、记忆与身份被操纵；校园离别与创伤。,有精确条目,2420,0.05602477477477477
天体的秩序 另一个愿望,sora_no_method_mou_hitotsu_no_negai_web_2019,2019 WEB,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,无,离别焦虑、排斥朋友的尝试、情绪痛苦、归属冲突、暂时消失与重逢,有精确条目,2428,0.08081285444234404
百合星人奈绪子 OVA,yuri_seijin_naoko_san_ova_2012,2012 OVA,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本,故事／角色页、可见宣传,无,露骨性双关、色情书与性工作笑料、对未成年少女的性化凝视、冒充亲属、边界侵犯、非自愿干预与长期昏睡。,有精确条目,2432,0.11087113030957524
魔女猎人,el_cazador_de_la_bruja_tv_2007,2007 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,并行,枪击与死亡、人体实验和精神操纵、跟踪与占有式控制、非自愿亲吻、绑架与拘束、研究者／受试者权力差、要求亲近者开枪及短暂死亡、丧亲与针对性别不合规范人物的贬称。,有精确条目,2435,0.12855473315153876
Estab-Life Great Escape,estab_life_great_escape_tv_2022,2022 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,枪战、爆炸与重伤；自杀意念和方法笑话；威权监控、强制服从、监禁与强迫劳动；身体、内衣及不穿内衣笑话；带强迫意味的亲热幻想，剧中明确讨论同意；临终告别和角色消失。,有精确条目,2436,0.06652555185969157
邪神与厨二病少女,jashin_chan_dropkick_tv_2018,2018 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,反复谋杀、肢解、酷刑与出血笑料；强制召唤与同居；跟踪、绑走、占有式骚扰和警权滥用；经济剥削与赌博；无家可归、饥饿；裸露、泳装及性化笑料。,有精确条目,2438,0.07602085143353605
A频道+smile,a_channel_smile_ova_2012,2012 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,病中照料、喂食、擦拭身体玩笑、同学调侃与轻微身体笑料。,有精确条目,2452,0.11626816690107829
憧憬成为魔法少女,mahou_shoujo_ni_akogarete_tv_2024,2024 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,初中年龄角色被持续性化；非自愿束缚、剥衣、猥亵及乳房／生殖器刺激；封闭房间中的胁迫亲吻和性行为；施虐、受虐、羞辱与高潮反应；触手、怪物袭击和公开暴露；勒索变身、身份威胁、精神控制、幼儿化角色扮演、战斗伤害和城市破坏。,有精确条目,2467,0.13736403536670697
狂赌之渊,kakegurui_tv_2017,2017 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,强迫赌博、债务与制度性奴役；羞辱、霸凌和人生计划；枪械、俄罗斯轮盘、自伤与求死欲望；性化赌博兴奋、支配和受虐；拔指甲与流血；强制婚育和职业安排。,有精确条目,2469,0.015675895765472313
