作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
剧场版 BanG Dream! Poppin'Dream！,2022,剧场动画,2022 年 1 月 1 日上映的剧场版《BanG Dream! ぽっぴん'どりーむ！》本片；本片官方作品页、官方预告说明、主题曲页面、上映资料和本片公开数据库条目,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,Poppin'Party 五人（主线／非恋爱／双向）；Poppin'Party、Roselia 与 RAISE A SUILEN 的联合演出共同体（重要副线／非恋爱／双向）；Morfonica 与其他女性乐队成员的旅行和演出往来（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,本片承接 TV 第三季，未看前作的观众可能不了解乐队成员和武道馆演出背景；海外旅行、慈善演出准备和舞台压力；全片以音乐、乐队协作与群像活动为主；本片范围没有明确女女交往或性取向身份自述,音乐,,原创,2109,0.058885754583921014,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/bang_dream_poppin_dream_movie_2022/
mono女孩,2025,TV 动画,2025 年 TV 动画第 1–12 话，于 2025 年 4 月 13 日至 6 月 29 日播出,主线,文类内百合,主线,潜在恋爱,3,主线 2、重要副线 1,潜在恋爱 2、非恋爱 1,双向 2、相互性未确认 1,シネフォト部三人组（主线／非恋爱／双向）；さつき—アン（主线／潜在恋爱／双向）；さつき—牧ノ原（重要副线／潜在恋爱／相互性未确认）,所核未见,所核未见,,,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,"social-media harassment and hostile rumor circulation；dangerous driving, downhill skateboarding and travel mishaps；food-overconsumption and gastrointestinal-distress comedy；ghost, haunting and found-footage horror imagery；temporary despair expressed with a casual wish to die；animal danger and supernatural-animal discussion",日常、萌系,日本,漫画改,2114,0.05054410080183276,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/mono_tv_2025/
向山进发,2013,TV 动画,2013 年 TV 动画第一季正式播出的第 1–12 话,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 2,雪村葵与仓上日向（主线／非恋爱／双向）；葵、日向、枫与心夏的登山朋友共同体（重要副线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,childhood_fall_broken_bone_and_fear_of_heights；beginner_hiking_anxiety_and_physical_endangerment；broken_footwear_on_a_mountain_trail,日常,日本,漫画改,2117,0.10866119037325263,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/yama_no_susume_tv_2013/
黑街二人组,2001,TV 动画,2001 年 TV 动画正篇第 1–26 话,主线,文类内百合,主线,潜在恋爱,3,主线 1、重要副线 2,潜在恋爱 2、非恋爱 1,双向 2、单向 1,夕丛雾香与米蕾优·布凯（主线／潜在恋爱／双向）；夕丛雾香与克洛维（重要副线／潜在恋爱／单向）；克洛维与阿尔蒂娜（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,assassination_gunfire_stabbing_and_death；organized_crime_terrorism_and_political_violence；child_soldier_conditioning_and_identity_manipulation；amnesia_and_psychological_breakdown；cult_control_coercive_ritual_and_emotional_abuse；family_murder_revenge_and_grief；forced_lethal_selection_between_women；threatening_nonconsensual_kiss_of_death；fire_drowning_and_suicidal_requests_to_be_killed,,日本,原创,2176,0.10192973775358734,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/noir_tv_2001/
结城友奈是勇者,2014,TV 动画,2014 年 10 月 16 日至 12 月 25 日播出的 TV 动画第一季正式第 1–12 话,主线,文类内百合,主线,潜在恋爱,5,主线 2、重要副线 3,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,结城友奈与东乡美森（主线／潜在恋爱／双向）；赞州中学勇者部共同体（主线／非恋爱／双向）；犬吠埼风与犬吠埼树（重要副线／非恋爱／双向）；东乡美森与乃木园子（重要副线／非恋爱／相互性未确认）；结城友奈与三好夏凛（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有关系推断,无,中,否,否,否,否,是,是,是,否,是,是,否,否,institutional_exploitation_and_deception_of_minors；child_combat_and_severe_fantasy_violence；bodily_sacrifice_disability_and_loss_of_sensory_or_motor_functions；memory_loss_and_identity_manipulation；self_destructive_sacrifice_and_prolonged_unconsciousness；suicidal_ideation_and_attempted_world_destruction；cosmic_horror_and_apocalyptic_threat；grief_guilt_and_emotional_breakdown,战斗,日本,原创,2177,0.10339350180505415,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/yuuki_yuuna_wa_yuusha_de_aru_tv_2014/
爱杀宝贝,2012,TV 动画,2012 年 TV 动画正式第 1–13 话,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,折部やすな与ソーニャ（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,frequent_comedic_hitting_punching_joint_locks_and_minor_injury_gags；knives_guns_assassination_assignments_and_death_threats_used_in_comedy；unwanted_grabbing_and_surprise_contact_followed_by_reflex_violence；public_bath_and_body_gags_involving_school_age_characters；animal_insect_drowning_and_stranding_peril_played_for_comedy；valentine_romance_convention_and_background_heterosexual_confession_gag,日常,日本,漫画改,2180,0.04340262677220144,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/kill_me_baby_tv_2012/
珈百璃的堕落,2017,TV 动画,2017 年 TV 动画正篇第 1–12 话,主线,文类内百合,局部,明确欲望,5,主线 2、重要副线 2、局部 1,明确欲望 1、非恋爱 4,双向 2、单向 1、相互性未确认 2,珈百璃与薇奈（主线／非恋爱／双向）；珈百璃、薇奈、萨塔妮亚与拉菲尔四人组（主线／非恋爱／双向）；拉菲尔与萨塔妮亚（重要副线／非恋爱／相互性未确认）；塔普莉丝与珈百璃（重要副线／非恋爱／相互性未确认）；玛尔蒂耶尔对拉菲尔的性化欲望（局部／明确欲望／单向）,所核未见,所核未见,,,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,是,是,否,否,sexualized_underwear_body_and_changing_room_jokes_involving_teen_coded_characters；one_sided_voyeuristic_harassment_and_attempted_nonconsensual_photography；slapstick_violence_restraint_humiliation_and_boundary_violations；unauthorized_home_entry_as_comedy；animal_impoundment_and_euthanasia_threat；apocalyptic_destruction_threats_as_comedy,日常,日本,漫画改,2187,0.10410485597326022,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/gabriel_dropout_tv_2017/
SSSS.古立特,2018,TV 动画,2018 年播出的 TV 动画第 1–12 话；TV 动画官网与分话公告页，作为正篇之外的辅助资料；当前公开数据库条目，仅作为分类背景,重要副线,文类外百合阅读,重要副线,潜在恋爱,2,重要副线 1、局部 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,新条アカネ与宝多六花（重要副线／潜在恋爱／相互性未确认）；宝多六花与なみこ、はっす（局部／非恋爱／双向）,所核未见,所核未见,,,只有关系推断,并列,中,否,否,否,否,是,否,否,否,否,是,否,否,kaiju_violence_city_destruction_and_mass_death_erasure；stabbing_blood_and_child_endangerment；amnesia_identity_displacement_and_memory_rewriting；creator_control_and_manipulated_affection；psychological_exploitation_isolation_and_self_loathing；dream_world_coercion_and_escapism；self_destructive_language_and_requests_to_be_killed；friendship_originated_by_design_and_creator_created_power_imbalance,机战、科幻,日本,影视改,2188,0.002203742203742204,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/ssss_gridman_tv_2018/
樱Trick,2014,TV 动画,2014 年 TV 动画播出的第 1–12 话；TV 动画官网、分话指南和动画制作公司的作品页，作为正篇之外的辅助材料；当前公开数据库条目，仅作为分类语境,主线,文类内百合,主线,明确欲望,5,主线 1、重要副线 2、局部 2,明确欲望 4、潜在恋爱 1,双向 2、单向 3,高山春香与園田優（主线／明确欲望／双向）；野田コトネ与南しずく（重要副线／明确欲望／双向）；園田美月对高山春香（重要副线／明确欲望／单向）；坂井理奈对園田美月（局部／潜在恋爱／单向）；乙川澄对園田美月（局部／明确欲望／单向）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,无,高,否,否,是,是,是,是,是,否,是,是,否,是,sexualized_presentation_of_school_age_characters；surprise_kissing_and_comedic_boundary_crossing；jealousy_possessiveness_and_relationship_surveillance；romantic_relationship_between_cousins；family_arranged_engagement_as_relationship_pressure；unwanted_or_uninvited_body_touching；school_pool_and_body_fanservice,校园,日本,漫画改,2195,0.18027355364879788,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/sakura_trick_tv_2014/
女神“异世界转生想成为什么”我“勇者的肋骨”,2026,TV 动画,2026 年 4 月 7 日至 6 月 23 日播出的电视动画正篇第 1—12 话；与 Bangumi 623854、Anime-Planet《My Ribdiculous Reincarnation》、AniList 206951、MyAnimeList 63376 及官方分话页精确对应的已完结电视版本,局部,文类外百合阅读,局部,明确欲望,4,局部 4,明确欲望 2、非恋爱 2,双向 2、单向 1、相互性未确认 1,勇者ナンテ与女性后宫成员（局部／明确欲望／相互性未确认）；ツレミ—アドメ的单向爱意与背叛（局部／明确欲望／单向）；リアン—クミン的宿敌与共同生活入口（局部／非恋爱／双向）；ヒミナ—タマキ姐妹（局部／非恋爱／双向）,是,所核未见,当前版本,剧情／角色页,只有明确关系事实,主导,高,否,否,否,是,是,否,否,否,是,是,是,否,怪诞暴力、身体破坏、死亡与恐怖场景；部分死亡和攻击以喜剧方式处理；后宫、性欲、偷窥、换衣空间与物化女性的笑料；男性主体短暂转生成女性身体；单向爱意中的欺骗与攻击；亲属失踪、恶灵追逐和姐妹受困；本档案只依据完整字幕判断台词和字幕明确声音，不补写未同步复核的身体动作、表情或构图,,日本,小说改,2230,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/megami_isekai_tensei_nani_ni_naritai_desu_ka_ore_yuusha_no_rokkotsu_de_tv_2026/
影宅 第二季,2022,TV 动画,2022 年 TV 动画第二季正式播出的第 1–12 话；第二季官方简介、分话故事页和角色页，仅作为本版本正篇之外的辅助材料；公开可用的分话字幕文本，仅用于定位和翻译决定性台词,主线,文类内百合,主线,潜在恋爱,4,主线 1、重要副线 3,潜在恋爱 2、非恋爱 2,双向 3、相互性未确认 1,凯特与艾蜜莉可（主线／潜在恋爱／双向）；玛丽罗斯与罗丝玛丽（重要副线／潜在恋爱／相互性未确认）；芭芭拉与芭比（重要副线／非恋爱／双向）；路易丝与露、艾蜜莉可与同期活人偶共同体（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,coercive_master_servant_hierarchy_and_dehumanizing_role_assignment；brainwashing_memory_erasure_and_forced_loyalty；threat_of_fusion_that_erases_the_living_doll_and_identity_loss；joint_suicide_attempt_and_disposal_threats；confinement_surveillance_and_institutional_violence；unrequited_male_romantic_feelings_and_relationship_power_imbalance,奇幻、悬疑,日本,漫画改,2231,0.04155124653739612,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/shadows_house_2nd_season_tv_2022/
我家也有外星人,2000,TV 动画,2000 年 TV 动画正式编号的第 1–13 话，于 2000-04-26 至 2000-07-19 播出,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,茅ケ崎まゆ子—ニア（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,poverty_food_insecurity_and_resource_conflict；asymmetric_housing_labor_and_care_burden；alien_caste_discrimination_and_dehumanizing_language；ethnic_and_racial_caricature；sexual_harassment_and_bawdy_humor；parental_bereavement_and_possible_loss_of_home,科幻,日本,原创,2232,0.04323211528564076,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/niea_7_tv_2000/
玛利亚狂热 ALIVE,2011,TV 动画,2011 年 4 月至 6 月播出的《まりあ†ほりっく あらいぶ》TV 第二季第 1–12 话；东京电视台本季官方故事、角色与工作人员页面作为版本与文本语境材料；MAL、Anime-Planet、AniList 与 Bangumi 的本季条目字段作为公共标签对照,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 1、非恋爱 1,双向 1、相互性未确认 1,宫前加奈子对女学生群体的追求与幻想（主线／明确欲望／相互性未确认）；加奈子与女二宿舍朋友的校园共同体（重要副线／非恋爱／双向）,是,是,当前版本,剧情／角色页,只有明确关系事实,无,中,否,否,是,是,是,是,是,否,否,是,是,是,女同性欲望与鼻血、身体凝视和夸张幻想被反复作为喜剧机制；对女学生身体、气味及梦境场景的性化叙述；鞠也与茉莉花对加奈子的喜剧性捉弄及辛辣言辞；梦境、误认和剧中夸张想象不能当作现实交往证据,,日本,漫画改,2240,0.07659483678259014,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/maria_holic_alive_tv_2011/
Re: 甜心战士,2004,OVA,2004年OVA《Re:キューティーハニー》三话本篇：第1话《天》的卷、第2话《地》的卷、第3话《人》的卷；第1话于2004年7月24日发行，三话总时长约137分钟,主线,文类内百合,重要副线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,相互性未确认 1、不适用 1,如月甜心／甜心战士与秋夏子的友情、共同承诺与强亲昵表达（重要副线／潜在恋爱／相互性未确认）；甜心与西露达（Sister Jill）的敌对与同化威胁（主线／非恋爱／不适用）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,只有关系推断,无,中,否,否,否,否,是,是,是,否,否,否,否,否,成人向性化台词语境；未作逐镜视觉判断；恐怖组织袭击、枪战、爆炸、城市破坏、死亡威胁及核武器恐吓；反派方针对甜心与女性人质的强制同化、能量吸收与威胁意象；女性关系中的朋友、共同承诺与强亲昵表达；反派线含强制同化意象,,,漫画改,2241,0.07449605609114812,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/re_cutie_honey_ova_2004/
